user_name,user_password,user_domain
rloader001,Password100,ctxlab.local
rloader002,Password100,ctxlab.local
rloader003,Password100,ctxlab.local
rloader004,Password100,ctxlab.local
rloader005,Password100,ctxlab.local
rloader006,Password100,ctxlab.local
rloader007,Password100,ctxlab.local
rloader008,Password100,ctxlab.local
rloader009,Password100,ctxlab.local
rloader010,Password100,ctxlab.local
rloader011,Password100,ctxlab.local
rloader012,Password100,ctxlab.local
rloader013,Password100,ctxlab.local
rloader014,Password100,ctxlab.local
rloader015,Password100,ctxlab.local
rloader016,Password100,ctxlab.local
rloader017,Password100,ctxlab.local
rloader018,Password100,ctxlab.local
rloader019,Password100,ctxlab.local
rloader020,Password100,ctxlab.local
