user_name,user_password,user_domain,email_address,qrlocation,secretkey
rloader001,Password100,domain.local,rloader001@domain.local,\\automai-01\automai\qr\rloader001.png,123456
rloader002,Password100,domain.local,rloader002@domain.local,,123456
rloader003,Password100,domain.local,rloader003@domain.local,,123456
rloader004,Password100,domain.local,rloader004@domain.local,,123456
rloader005,Password100,domain.local,rloader005@domain.local,,123456
rloader006,Password100,domain.local,rloader006@domain.local,,123456
rloader007,Password100,domain.local,rloader007@domain.local,,123456
rloader008,Password100,domain.local,rloader008@domain.local,,123456
rloader009,Password100,domain.local,rloader009@domain.local,,123456
rloader010,Password100,domain.local,rloader010@domain.local,,123456
rloader011,Password100,domain.local,rloader011@domain.local,,123456
rloader012,Password100,domain.local,rloader012@domain.local,,123456
rloader013,Password100,domain.local,rloader013@domain.local,,123456
rloader014,Password100,domain.local,rloader014@domain.local,,123456
rloader015,Password100,domain.local,rloader015@domain.local,,123456
rloader016,Password100,domain.local,rloader016@domain.local,,123456
rloader017,Password100,domain.local,rloader017@domain.local,,123456
rloader018,Password100,domain.local,rloader018@domain.local,,123456
rloader019,Password100,domain.local,rloader019@domain.local,,123456
rloader020,Password100,domain.local,rloader020@domain.local,,123456
